bin,wind_speed_mean,output_power_mean,output_power_low_quantile,output_power_high_quantile,output_power_count
"(0, 1]",0.687437058281917,0.0,0.0,0.0,170
"(1, 2]",1.5780778530717159,0.0,0.0,0.0,860
"(2, 3]",2.54390464021752,0.0,0.0,0.0,1803
"(3, 4]",3.505044006633696,30.074762658227847,6.0,56.0,2528
"(4, 5]",4.4904150390108155,104.43803498325269,62.0,151.0,2687
"(5, 6]",5.490186785135927,213.15231289958632,140.0,294.0,2659
"(6, 7]",6.470090945749343,360.2534602076125,252.0,476.0,2312
"(7, 8]",7.470118305865112,577.459375,429.0,727.1000000000001,1600
"(8, 9]",8.474842085817379,842.9952153110048,678.0,1003.0,1045
"(9, 10]",9.482053400179293,1130.362892223738,980.2,1281.0,733
"(10, 11]",10.491541232261717,1415.078244274809,1260.6,1568.7,524
"(11, 12]",11.415783541540282,1651.8545994065282,1497.4,1798.4,337
"(12, 13]",12.459857898321948,1902.3101265822784,1761.1,2044.9,158
"(13, 14]",13.435800748480611,2013.7977528089887,1950.6,2050.0,89
"(14, 15]",14.405067204304705,2042.9259259259259,2027.4,2050.0,27
"(15, 16]",15.399637085781105,2050.0,2050.0,2050.0,9
"(16, 17]",16.283742352677365,2024.6666666666667,1989.2,2050.0,3
"(17, 18]",,,,,0
"(18, 19]",,,,,0
"(19, 20]",,,,,0
"(20, 21]",,,,,0
"(21, 22]",,,,,0
"(22, 23]",,,,,0
"(23, 24]",,,,,0
"(24, 25]",,,,,0
"(25, 26]",,,,,0
"(26, 27]",,,,,0
"(27, 28]",,,,,0
"(28, 29]",,,,,0
"(29, 30]",,,,,0
